"Date and Time","temp1","temp2"
"09/17/2023 09:48:37 pm","","20.7"
"09/17/2023 09:48:37 pm","17.3",""
"09/17/2023 09:48:27 pm","","20.7"
"09/17/2023 09:48:27 pm","17.3",""
"09/17/2023 09:48:17 pm","","20.6"
"09/17/2023 09:48:17 pm","17.3",""
"09/17/2023 09:48:07 pm","17.2","20.7"
"09/17/2023 09:47:57 pm","17.2","20.7"
"09/17/2023 09:47:47 pm","17.2","20.6"
"09/17/2023 09:47:37 pm","17.3","20.6"
"09/17/2023 09:47:27 pm","17.3","20.7"
"09/17/2023 09:47:17 pm","17.3","20.7"
"09/17/2023 09:47:07 pm","17.3","20.7"
"09/17/2023 09:46:57 pm","17.3","20.7"
"09/17/2023 09:46:47 pm","17.3","20.8"
"09/17/2023 09:46:37 pm","17.3","20.8"
"09/17/2023 09:46:27 pm","17.3","20.8"
"09/17/2023 09:46:17 pm","17.3","20.7"
"09/17/2023 09:46:06 pm","17.3","20.7"
"09/17/2023 09:45:56 pm","17.3","20.8"
"09/17/2023 09:45:46 pm","","20.8"
"09/17/2023 09:45:46 pm","17.3",""
"09/17/2023 09:45:36 pm","17.4","20.8"
"09/17/2023 09:45:26 pm","17.3","20.8"
"09/17/2023 09:45:16 pm","17.4","20.8"
"09/17/2023 09:45:06 pm","17.4","20.8"
"09/17/2023 09:44:56 pm","17.4","20.8"
"09/17/2023 09:44:46 pm","","20.8"
"09/17/2023 09:44:46 pm","17.4",""
"09/17/2023 09:44:36 pm","","20.8"
"09/17/2023 09:44:36 pm","17.4",""
"09/17/2023 09:44:26 pm","","20.8"
"09/17/2023 09:44:26 pm","17.3",""
"09/17/2023 09:44:16 pm","17.4","20.8"
"09/17/2023 09:44:06 pm","17.4","20.9"
"09/17/2023 09:43:56 pm","","20.9"
"09/17/2023 09:43:56 pm","17.4",""
"09/17/2023 09:43:46 pm","17.4","20.8"
"09/17/2023 09:43:35 pm","","20.9"
"09/17/2023 09:43:35 pm","17.4",""
"09/17/2023 09:43:25 pm","17.3","20.8"
"09/17/2023 09:43:15 pm","","20.9"
"09/17/2023 09:43:15 pm","17.4",""
"09/17/2023 09:43:05 pm","17.3","20.9"
"09/17/2023 09:42:55 pm","","20.9"
"09/17/2023 09:42:55 pm","17.4",""
"09/17/2023 09:42:45 pm","17.4","20.9"
"09/17/2023 09:42:35 pm","","20.9"
"09/17/2023 09:42:35 pm","17.3",""
"09/17/2023 09:42:25 pm","","20.9"
"09/17/2023 09:42:25 pm","17.3",""
"09/17/2023 09:42:15 pm","","20.8"
"09/17/2023 09:42:15 pm","17.4",""
"09/17/2023 09:42:05 pm","17.4","20.9"
"09/17/2023 09:41:55 pm","","20.9"
"09/17/2023 09:41:55 pm","17.4",""
"09/17/2023 09:41:45 pm","","20.9"
"09/17/2023 09:41:45 pm","17.4",""
"09/17/2023 09:41:35 pm","17.4","20.9"
"09/17/2023 09:41:25 pm","","20.9"
"09/17/2023 09:41:25 pm","17.3",""
"09/17/2023 09:41:15 pm","","20.9"
"09/17/2023 09:41:15 pm","17.3",""
"09/17/2023 09:41:05 pm","17.3","20.9"
"09/17/2023 09:40:55 pm","17.3","20.8"
"09/17/2023 09:40:44 pm","17.3","20.9"
"09/17/2023 09:40:34 pm","17.4","20.9"
"09/17/2023 09:40:24 pm","17.4","20.9"
"09/17/2023 09:40:14 pm","","20.9"
"09/17/2023 09:40:14 pm","17.4",""
"09/17/2023 09:40:04 pm","17.4","20.9"
"09/17/2023 09:39:54 pm","17.4","20.9"
"09/17/2023 09:39:44 pm","","20.9"
"09/17/2023 09:39:44 pm","17.4",""
"09/17/2023 09:39:34 pm","17.4","20.9"
"09/17/2023 09:39:24 pm","17.4","20.9"
"09/17/2023 09:39:14 pm","","20.9"
"09/17/2023 09:39:14 pm","17.4",""
"09/17/2023 09:39:04 pm","","20.9"
"09/17/2023 09:39:04 pm","17.4",""
"09/17/2023 09:38:54 pm","","20.9"
"09/17/2023 09:38:54 pm","17.4",""
"09/17/2023 09:38:44 pm","","21"
"09/17/2023 09:38:44 pm","17.4",""
"09/17/2023 09:38:34 pm","17.4","21"
"09/17/2023 09:38:24 pm","","21"
"09/17/2023 09:38:24 pm","17.4",""
"09/17/2023 09:38:14 pm","17.4","21.1"
"09/17/2023 09:38:03 pm","","21.1"
"09/17/2023 09:38:03 pm","17.5",""
"09/17/2023 09:37:53 pm","","21.1"
"09/17/2023 09:37:53 pm","17.5",""
"09/17/2023 09:37:43 pm","","21.1"
"09/17/2023 09:37:43 pm","17.4",""
"09/17/2023 09:37:33 pm","17.4","21.1"
"09/17/2023 09:37:23 pm","","21.1"
"09/17/2023 09:37:23 pm","17.5",""
"09/17/2023 09:37:13 pm","17.4","21"
"09/17/2023 09:37:03 pm","17.5","21"
"09/17/2023 09:36:53 pm","17.5","21"
"09/17/2023 09:36:43 pm","17.4","20.9"
"09/17/2023 09:36:33 pm","","21"
"09/17/2023 09:36:33 pm","17.4",""
"09/17/2023 09:36:23 pm","","20.9"
"09/17/2023 09:36:23 pm","17.4",""
"09/17/2023 09:36:13 pm","17.4","20.5"
"09/17/2023 09:36:03 pm","","20.3"
"09/17/2023 09:36:03 pm","17.5",""
"09/17/2023 09:35:53 pm","17.5","20.4"
"09/17/2023 09:35:43 pm","17.5","20.9"
"09/17/2023 09:35:33 pm","","20.9"
"09/17/2023 09:35:33 pm","17.5",""
"09/17/2023 09:35:22 pm","17.4","20.9"
"09/17/2023 09:35:12 pm","17.5","20.9"
"09/17/2023 09:35:02 pm","17.5","20.9"
"09/17/2023 09:34:52 pm","17.4","21"
"09/17/2023 09:34:42 pm","","21"
"09/17/2023 09:34:42 pm","17.4",""
"09/17/2023 09:34:32 pm","17.4","21"
"09/17/2023 09:34:22 pm","17.4","21.1"
"09/17/2023 09:34:12 pm","17.5","21.1"
"09/17/2023 09:34:02 pm","17.4","21.1"
"09/17/2023 09:33:52 pm","17.5","21.1"
"09/17/2023 09:33:42 pm","","21.1"
"09/17/2023 09:33:42 pm","17.5",""
"09/17/2023 09:33:32 pm","","21.1"
"09/17/2023 09:33:32 pm","17.5",""
"09/17/2023 09:33:22 pm","17.2","21.1"
"09/17/2023 09:33:12 pm","","21.1"
"09/17/2023 09:33:12 pm","16.6",""
"09/17/2023 09:33:02 pm","17.3","21"
"09/17/2023 09:32:52 pm","17.5","21"
"09/17/2023 09:32:41 pm","","21"
"09/17/2023 09:32:41 pm","17.4",""
"09/17/2023 09:32:31 pm","","21.1"
"09/17/2023 09:32:31 pm","17.4",""
"09/17/2023 09:32:21 pm","17.5","21.1"
"09/17/2023 09:32:11 pm","17.5","21.1"
"09/17/2023 09:32:01 pm","","21.1"
"09/17/2023 09:32:01 pm","17.5",""
"09/17/2023 09:31:51 pm","17.6","21.1"
"09/17/2023 09:31:41 pm","","21.2"
"09/17/2023 09:31:41 pm","17.6",""
"09/17/2023 09:31:31 pm","17.5","21.1"
"09/17/2023 09:31:21 pm","","21.1"
"09/17/2023 09:31:21 pm","17.5",""
"09/17/2023 09:31:11 pm","17.5","21.1"
"09/17/2023 09:31:01 pm","17.5","21.1"
"09/17/2023 09:30:51 pm","17.5","21.1"
"09/17/2023 09:30:41 pm","","21.1"
"09/17/2023 09:30:41 pm","17.6",""
"09/17/2023 09:30:31 pm","","20.9"
"09/17/2023 09:30:31 pm","17.6",""
"09/17/2023 09:30:25 pm","","21.2"
"09/17/2023 09:30:25 pm","17.6",""
"09/17/2023 09:30:11 pm","","21.2"
"09/17/2023 09:30:11 pm","17.6",""
"09/17/2023 09:30:01 pm","17.6","21.4"
"09/17/2023 09:29:55 pm","17.5","21.3"
"09/17/2023 09:29:40 pm","","21.4"
"09/17/2023 09:29:40 pm","17.6",""
"09/17/2023 09:29:31 pm","","21.3"
"09/17/2023 09:29:31 pm","17.6",""
"09/17/2023 09:29:25 pm","17.6","21.4"
"09/17/2023 09:29:10 pm","","21.3"
"09/17/2023 09:29:10 pm","17.6",""
"09/17/2023 09:29:01 pm","17.6","21.1"
"09/17/2023 09:28:55 pm","17.6","21.3"
"09/17/2023 09:28:31 pm","","21.3"
"09/17/2023 09:28:31 pm","17.6",""
"09/17/2023 09:28:25 pm","17.6","21.3"
"09/17/2023 09:28:10 pm","","21.3"
"09/17/2023 09:28:10 pm","17.6",""
"09/17/2023 09:28:01 pm","17.6","21"
"09/17/2023 09:27:55 pm","","21.4"
"09/17/2023 09:27:55 pm","17.6",""
"09/17/2023 09:27:40 pm","","21.3"
"09/17/2023 09:27:40 pm","17.6",""
"09/17/2023 09:27:31 pm","","21"
"09/17/2023 09:27:31 pm","17.6",""
"09/17/2023 09:27:25 pm","17.6","21.3"
"09/17/2023 09:27:09 pm","","21.3"
"09/17/2023 09:27:09 pm","17.6",""
"09/17/2023 09:27:01 pm","17.7","21"
"09/17/2023 09:26:55 pm","17.6","21.3"
"09/17/2023 09:26:39 pm","","21.2"
"09/17/2023 09:26:39 pm","17.6",""
"09/17/2023 09:26:32 pm","","21.2"
"09/17/2023 09:26:32 pm","17.6",""
"09/17/2023 09:26:26 pm","","21.2"
"09/17/2023 09:26:26 pm","17.5",""
"09/17/2023 09:26:14 pm","","21.2"
"09/17/2023 09:26:14 pm","17.6",""
"09/17/2023 09:26:07 pm","","20.1"
"09/17/2023 09:26:07 pm","17.6",""
"09/17/2023 09:26:01 pm","","21.3"
"09/17/2023 09:26:01 pm","17.6",""
"09/17/2023 09:25:40 pm","17.6","21.2"
"09/17/2023 09:25:33 pm","17.5","21"
"09/17/2023 07:17:10 pm","20.7","28.1"
"09/17/2023 07:17:00 pm","20.6","28.1"
"09/17/2023 07:16:50 pm","","28.2"
"09/17/2023 07:16:50 pm","20.7",""
"09/17/2023 07:16:39 pm","20.7","28.3"
"09/17/2023 07:16:29 pm","","28.3"
"09/17/2023 07:16:29 pm","20.8",""
"09/17/2023 07:16:19 pm","","28.3"
"09/17/2023 07:16:19 pm","20.8",""
"09/17/2023 07:16:09 pm","","28.4"
"09/17/2023 07:16:09 pm","20.8",""
"09/17/2023 07:15:59 pm","","28.5"
"09/17/2023 07:15:59 pm","20.4",""
"09/17/2023 07:15:49 pm","20.8","28.5"
"09/17/2023 07:15:39 pm","20.9","28.5"
"09/17/2023 07:15:29 pm","20.8","28.4"
"09/17/2023 07:15:19 pm","20.8","28.4"
"09/17/2023 07:15:09 pm","20.9","28.4"
"09/17/2023 07:14:59 pm","20.8","28.4"
"09/17/2023 07:14:49 pm","","28.5"
"09/17/2023 07:14:49 pm","20.8",""
"09/17/2023 07:14:39 pm","20.9","28.6"
"09/17/2023 07:14:29 pm","20.9","28.7"
"09/17/2023 07:14:19 pm","20.9","28.7"
"09/17/2023 07:14:09 pm","","28.8"
"09/17/2023 07:14:09 pm","20.9",""
"09/17/2023 07:13:58 pm","20.9","28.9"
"09/17/2023 07:13:49 pm","","28.9"
"09/17/2023 07:13:49 pm","21",""
"09/17/2023 07:13:38 pm","21","29"
"09/17/2023 07:13:28 pm","","29"
"09/17/2023 07:13:28 pm","21",""
"09/17/2023 07:13:18 pm","21","29.1"
"09/17/2023 07:13:08 pm","21.1","29.1"
"09/17/2023 07:12:58 pm","21.1","29"
"09/17/2023 07:12:48 pm","","28.9"
"09/17/2023 07:12:48 pm","21.1",""
"09/17/2023 07:12:38 pm","","28.8"
"09/17/2023 07:12:38 pm","21",""
"09/17/2023 07:12:28 pm","","28.8"
"09/17/2023 07:12:28 pm","21",""
"09/17/2023 07:12:18 pm","20.9","28.7"
"09/17/2023 07:12:08 pm","21","28.7"
"09/17/2023 07:11:58 pm","","28.7"
"09/17/2023 07:11:58 pm","20.9",""
"09/17/2023 07:11:48 pm","","28.8"
"09/17/2023 07:11:48 pm","20.9",""
"09/17/2023 07:11:38 pm","","28.8"
"09/17/2023 07:11:38 pm","21",""
"09/17/2023 07:11:28 pm","20.9","28.7"
"09/17/2023 07:11:17 pm","","28.8"
"09/17/2023 07:11:17 pm","20.9",""
"09/17/2023 07:11:07 pm","","28.7"
"09/17/2023 07:11:07 pm","20.9",""
"09/17/2023 07:10:57 pm","","28.7"
"09/17/2023 07:10:57 pm","20.9",""
"09/17/2023 07:10:47 pm","20.9","28.7"
"09/17/2023 07:10:37 pm","20.9","28.7"
"09/17/2023 07:10:27 pm","","28.6"
"09/17/2023 07:10:27 pm","20.9",""
"09/17/2023 07:10:17 pm","20.9","28.7"
"09/17/2023 07:10:07 pm","20.9","28.8"
"09/17/2023 07:09:57 pm","","28.8"
"09/17/2023 07:09:57 pm","21",""
"09/17/2023 07:09:47 pm","","28.9"
"09/17/2023 07:09:47 pm","21",""
"09/17/2023 07:09:37 pm","21","29"
"09/17/2023 07:09:27 pm","","29"
"09/17/2023 07:09:27 pm","21",""
"09/17/2023 07:09:17 pm","21","28.9"
"09/17/2023 07:09:07 pm","","29"
"09/17/2023 07:09:07 pm","21",""
"09/17/2023 07:08:57 pm","","29"
"09/17/2023 07:08:57 pm","21",""
"09/17/2023 07:08:47 pm","21","29.1"
"09/17/2023 07:08:36 pm","21","29"
"09/17/2023 07:08:26 pm","","29"
"09/17/2023 07:08:26 pm","20.9",""
"09/17/2023 07:08:16 pm","21","29"
"09/17/2023 07:08:06 pm","20.9","29"
"09/17/2023 07:07:56 pm","20.8","29.1"
"09/17/2023 07:07:46 pm","","29.2"
"09/17/2023 07:07:46 pm","20.9",""
"09/17/2023 07:07:36 pm","","29.2"
"09/17/2023 07:07:36 pm","20.9",""
"09/17/2023 07:07:26 pm","","29.2"
"09/17/2023 07:07:26 pm","20.9",""
"09/17/2023 07:07:16 pm","","29.3"
"09/17/2023 07:07:16 pm","20.9",""
"09/17/2023 07:07:06 pm","","29.3"
"09/17/2023 07:07:06 pm","20.9",""
"09/17/2023 07:06:56 pm","","29.3"
"09/17/2023 07:06:56 pm","20.9",""
"09/17/2023 07:06:46 pm","21","29.3"
"09/17/2023 07:06:36 pm","","29.3"
"09/17/2023 07:06:36 pm","21.1",""
"09/17/2023 07:06:26 pm","21.1","29.3"
"09/17/2023 07:06:16 pm","21.2","29.4"
"09/17/2023 07:06:06 pm","21.2","29.4"
"09/17/2023 07:05:55 pm","","29.4"
"09/17/2023 07:05:55 pm","21.2",""
"09/17/2023 07:05:45 pm","21.1","29.4"
"09/17/2023 07:05:35 pm","","29.4"
"09/17/2023 07:05:35 pm","21.2",""
"09/17/2023 07:05:25 pm","21.2","29.5"
"09/17/2023 07:05:15 pm","21.3","29.6"
"09/17/2023 07:05:05 pm","21.4","29.6"
"09/17/2023 07:04:55 pm","21.4","29.6"
"09/17/2023 07:04:45 pm","21.4","29.7"
"09/17/2023 07:04:35 pm","21.4","29.6"
"09/17/2023 07:04:25 pm","","29.6"
"09/17/2023 07:04:25 pm","21.3",""
"09/17/2023 07:04:15 pm","","29.5"
"09/17/2023 07:04:15 pm","21.2",""
"09/17/2023 07:04:05 pm","","29.6"
"09/17/2023 07:04:05 pm","21.1",""
"09/17/2023 07:03:55 pm","","29.5"
"09/17/2023 07:03:55 pm","21.2",""
"09/17/2023 07:03:45 pm","","29.6"
"09/17/2023 07:03:45 pm","21.2",""
"09/17/2023 07:03:35 pm","21.2","29.6"
"09/17/2023 07:03:25 pm","21.2","29.5"
"09/17/2023 07:03:14 pm","21.2","29.5"
"09/17/2023 07:03:04 pm","","29.5"
"09/17/2023 07:03:04 pm","21.2",""
"09/17/2023 07:02:54 pm","","29.5"
"09/17/2023 07:02:54 pm","21.1",""
"09/17/2023 07:02:44 pm","21.1","29.5"
"09/17/2023 07:02:34 pm","","29.1"
"09/17/2023 07:02:34 pm","21.1",""
"09/17/2023 07:02:24 pm","21.1","29"
"09/17/2023 07:02:14 pm","21.1","29"
"09/17/2023 07:02:04 pm","","29.5"
"09/17/2023 07:02:04 pm","21.1",""
"09/17/2023 07:01:54 pm","21.1","29.6"
"09/17/2023 07:01:44 pm","21.1","29.6"
"09/17/2023 07:01:34 pm","21.1","29.6"
"09/17/2023 07:01:24 pm","21.1","29.6"
"09/17/2023 07:01:14 pm","","29.6"
"09/17/2023 07:01:14 pm","21.1",""
"09/17/2023 07:01:04 pm","","29.6"
"09/17/2023 07:01:04 pm","21.1",""
"09/17/2023 07:00:54 pm","21.1","29.7"
"09/17/2023 07:00:44 pm","21.2","29.7"
"09/17/2023 07:00:34 pm","","29.8"
"09/17/2023 07:00:34 pm","21.3",""
"09/17/2023 07:00:23 pm","","29.8"
"09/17/2023 07:00:23 pm","21.2",""
"09/17/2023 07:00:13 pm","","29.7"
"09/17/2023 07:00:13 pm","21.1",""
"09/17/2023 07:00:03 pm","","29.8"
"09/17/2023 07:00:03 pm","21.1",""
"09/17/2023 06:59:53 pm","21.1","29.8"
"09/17/2023 06:59:43 pm","20.8","29.8"
"09/17/2023 06:59:33 pm","","29.8"
"09/17/2023 06:59:33 pm","21",""
"09/17/2023 06:59:23 pm","","29.8"
"09/17/2023 06:59:23 pm","21",""
"09/17/2023 06:59:13 pm","21.2","29.8"
"09/17/2023 06:59:03 pm","21.1","29.7"
"09/17/2023 06:58:53 pm","21.2","29.7"
"09/17/2023 06:58:43 pm","","29.7"
"09/17/2023 06:58:43 pm","21.2",""
"09/17/2023 06:58:33 pm","","29.8"
"09/17/2023 06:58:33 pm","21.1",""
"09/17/2023 06:58:23 pm","21.2","29.7"
"09/17/2023 06:58:13 pm","","29.7"
